Aircraft,AircraftType,Flight,DepartureAirportICAO,ArrivalAirportICAO,Coordenada,Altitude
PR-YXT,ATR-72-600,AD9012,SBKP,SBCT,S234210W0472923,14369
PR-AQQ,ATR-72-600,AD9006,SBRF,SBJU,S071631W0375712,20017
PR-YXE,ATR-72-600,AD4344,SBMO,SBRF,S085140W0352334,15003
PR-AKL,ATR-72-600,AD4222,SBML,SBKP,S221217W0495542,2309
PR-YXT,ATR-72-600,AD9012,SBKP,SBCT,S243026W0475950,18005
PR-AQQ,ATR-72-600,AD9006,SBRF,SBJU,S071037W0390242,14027
PR-AKL,ATR-72-600,AD4222,SBML,SBKP,S222354W0490804,15001
PR-YXE,ATR-72-600,AD4344,SBMO,SBRF,S075800W0345835,2733
PR-YXT,ATR-72-600,AD9012,SBKP,SBCT,S252201W0484553,13215
PR-AKL,ATR-72-600,AD4222,SBML,SBKP,S223740W0475853,15000
PR-YXB,ATR-72-600,AD9587,SBUY,SBEG,S044020W0632751,16007
PR-YXB,ATR-72-600,AD9587,SBUY,SBEG,S045328W0643417,15999
PR-YXB,ATR-72-600,AD9587,SBUY,SBEG,S045429W0652756,2500
PR-YXB,ATR-72-600,AD9588,SBUY,SBEG,S045257W0652048,689
PR-YXB,ATR-72-600,AD9588,SBUY,SBEG,S044709W0643554,14997
PR-YXB,ATR-72-600,AD9588,SBUY,SBEG,S042300W0633616,14996
PR-AKJ,ATR-72-600,AD2670,SBLO,SBKP,S232014W0510707,1947
PR-AKJ,ATR-72-600,AD2670,NULL,NULL,S225855W0502059,13901
PR-YXB,ATR-72-600,AD9588,SBUY,SBEG,S035903W0623725,15002
PR-AQQ,ATR-72-600,AD9006,SBJU,SBRF,S071257W0391638,1469
PR-AKJ,ATR-72-600,AD2670,SBLO,SBKP,S224747W0491644,16985
PR-YXB,ATR-72-600,AD9588,SBUY,SBEG,S033513W0613903,14999
PR-AQQ,ATR-72-600,AD9006,SBJU,SBRF,S071236W0385541,13943
PR-AKJ,ATR-72-600,AD2670,SBLO,SBKP,S224409W0480733,17004
PR-YXB,ATR-72-600,AD9588,SBUY,SBEG,S031133W0603933,14995
PR-AQQ,ATR-72-600,AD9006,SBJU,SBRF,S072056W0380346,18971
PR-AKJ,ATR-72-600,AD2670,SBLO,SBKP,S225909W0470953,2454
PR-AQQ,ATR-72-600,AD9006,SBJU,SBRF,S073002W0370620,19016
PR-YXT,ATR-72-600,AD9013,SBCT,SBKP,S253131W0491047,3062
PR-AQQ,ATR-72-600,AD9006,SBJU,SBRF,S073915W0360715,19018
PR-YXT,ATR-72-600,AD9013,SBCT,SBKP,S244908W0485404,16269
PR-AQQ,ATR-72-600,AD9006,SBJU,SBRF,S075530W0350525,5246
PR-YXT,ATR-72-600,AD9013,SBCT,SBKP,S235742W0481940,16999
PR-YXT,ATR-72-600,AD9013,SBCT,SBKP,S231151W0473555,12887
PR-AKF,ATR-72-600,AD4139,SBCF,SBIP,S193834W0435737,2703
PR-AKF,ATR-72-600,AD4139,SBCF,SBIP,S193701W0430801,11001
PR-AQR,ATR-72-600,AD4420,SBCF,SBMK,S193816W0435753,2737
PR-YXF,ATR-72-600,AD4376,SBCF,SBUL,S193837W0435735,2704
PR-AQR,ATR-72-600,AD4420,SBCF,SBMK,S190533W0440203,12918
PR-YXD,ATR-72-600,AD5035,SBRF,SBSG,S080749W0345519,307
PR-AQZ,ATR-72-600,AD4099,SBKP,SBSR,S230038W0470748,2245
PR-YXF,ATR-72-600,AD4376,SBCF,SBUL,S193442W0444322,13567
PR-AQR,ATR-72-600,AD4420,SBCF,SBMK,S180914W0435439,17012
PR-AKA,ATR-72-600,AD4670,SBKP,SBUL,S230034W0470754,2248
PR-YXD,ATR-72-600,AD5035,SBRF,SBSG,S073134W0350547,14786
PR-AQZ,ATR-72-600,AD4099,SBKP,SBSR,S223207W0472840,11979
PR-YXF,ATR-72-600,AD4376,SBCF,SBUL,S192243W0454834,14000
PR-AQR,ATR-72-600,AD4420,SBCF,SBMK,S170750W0434641,13502
PR-YXT,ATR-72-600,AD4711,SBKP,SBRP,S230033W0470755,2197
PR-AKA,ATR-72-600,AD4670,SBKP,SBUL,S221659W0471042,12575
PR-YXD,ATR-72-600,AD5035,SBRF,SBSG,S064519W0351833,17001
PR-AQZ,ATR-72-600,AD4099,SBKP,SBSR,S215614W0481711,16008
PR-YXF,ATR-72-600,AD4376,SBCF,SBUL,S191020W0465333,14000
PR-YXT,ATR-72-600,AD4711,SBKP,SBRP,S222057W0471422,14003
PR-AKA,ATR-72-600,AD4670,SBKP,SBUL,S211538W0472955,14999
PR-YXD,ATR-72-600,AD5035,SBRF,SBSG,S055721W0353145,8675
PR-AQZ,ATR-72-600,AD4099,SBKP,SBSR,S211456W0491211,13583
PR-YXF,ATR-72-600,AD4376,SBCF,SBUL,S190656W0480158,11262
PR-YXT,ATR-72-600,AD4711,SBKP,SBRP,S212254W0473424,15072
PR-AKA,ATR-72-600,AD4670,SBKP,SBUL,S201111W0474947,15000
PR-AKA,ATR-72-600,AD4670,SBKP,SBUL,S190703W0481307,7537
PR-YXF,ATR-72-600,AD4377,SBUL,SBCF,S185233W0481322,3197
PR-YXF,ATR-72-600,AD4377,SBUL,SBCF,S190406W0472728,14279
PR-YXT,ATR-72-600,AD4211,SBRP,SBKP,S210827W0474619,1973
PR-AKA,ATR-72-600,AD4393,SBUL,SBKP,S185228W0481319,3092
PR-YXT,ATR-72-600,AD4211,SBRP,SBKP,S215434W0474713,13995
PR-YXF,ATR-72-600,AD4377,SBUL,SBCF,S190935W0463137,17007
PR-YXD,ATR-72-600,AD2669,SBSG,SBRF,S054613W0352148,558
PR-AKF,ATR-72-600,AD4029,SBIP,SBCF,S192753W0422902,835
PR-AKA,ATR-72-600,AD4393,SBUL,SBKP,S193634W0481507,13999
PR-YXT,ATR-72-600,AD4211,SBRP,SBKP,S224640W0472524,8566
PR-AKF,ATR-72-600,AD4029,SBIP,SBCF,S193130W0430931,14001
PR-YXF,ATR-72-600,AD4377,SBUL,SBCF,S190803W0453117,17008
PR-AQR,ATR-72-600,AD4421,SBMK,SBCF,S164228W0434838,2255
PR-YXD,ATR-72-600,AD2669,SBSG,SBRF,S063002W0350622,13995
PR-AKA,ATR-72-600,AD4393,SBUL,SBKP,S203705W0480901,13999
PR-AKF,ATR-72-600,AD4029,SBIP,SBCF,S193227W0440317,4661
PR-YXF,ATR-72-600,AD4377,SBUL,SBCF,S191405W0443512,17005
PR-AQR,ATR-72-600,AD4421,SBMK,SBCF,S172913W0434828,14482
PR-YXD,ATR-72-600,AD2669,SBSG,SBRF,S073936W0350040,8952
PR-AKA,ATR-72-600,AD4393,SBUL,SBKP,S213939W0480021,13997
PR-AQR,ATR-72-600,AD4421,SBMK,SBCF,S182617W0434142,16010
PR-AKA,ATR-72-600,AD4393,SBUL,SBKP,S223740W0473659,12983
PR-AQR,ATR-72-600,AD4421,SBMK,SBCF,S191858W0435834,11961
PR-AQZ,ATR-72-600,AD2717,SBSR,SBKP,S204839W0492356,1846
PR-AQZ,ATR-72-600,AD2717,SBSR,SBKP,S211657W0485145,12741
PR-AQZ,ATR-72-600,AD2717,SBSR,SBKP,S215843W0481633,17004
PR-AQZ,ATR-72-600,AD2717,SBSR,SBKP,S224536W0472948,9742
PR-YXE,ATR-72-600,AD4556,SBRF,SBMO,S080818W0345510,384
PR-AQL,ATR-72-600,AD2875,SBCF,SBGV,S193802W0435807,2678
PR-YXE,ATR-72-600,AD4556,SBRF,SBMO,S084938W0351114,13996
PR-YXF,ATR-72-600,AD5033,SBCF,SNBR,S193832W0435739,2731
PR-AKF,ATR-72-600,AD4136,SBCF,SNGI,S193810W0435759,2788
PR-AQL,ATR-72-600,AD2875,SBCF,SBGV,S192600W0440008,6796
PR-YXE,ATR-72-600,AD4556,SBRF,SBMO,S092538W0355936,4699
PR-AQJ,ATR-72-600,AD4330,SBRF,SBAR,S080749W0345519,259
PR-YXF,ATR-72-600,AD5033,SBCF,SNBR,S190741W0440823,15160
PR-AQN,ATR-72-600,AD9585,SBEG,SBUY,S030219W0600318,410
PR-AKF,ATR-72-600,AD4136,SBCF,SNGI,S185618W0434245,15417
PR-AKA,ATR-72-600,AD4907,SBKP,SBSR,S230041W0470744,2208
PR-AQR,ATR-72-600,AD4264,SBCF,SBUL,S193837W0435734,2754
PR-AQJ,ATR-72-600,AD4330,SBRF,SBAR,S084125W0352121,13847
PR-AQZ,ATR-72-600,AD2667,SBKP,SBZM,S230037W0470750,2207
PR-AQV,ATR-72-600,AD5094,SBCT,SBCA,S253213W0490958,2982
PR-YXD,ATR-72-600,AD2682,SBRF,SBSG,S080749W0345518,229
PR-YXF,ATR-72-600,AD5033,SBCF,SNBR,S180647W0441713,17001
PR-AQN,ATR-72-600,AD9585,SBEG,SBUY,S031619W0605251,13943
PR-AKF,ATR-72-600,AD4136,SBCF,SNGI,S175335W0432941,19001
PR-YXT,ATR-72-600,AD4530,SBKP,SBAE,S230034W0470754,2181
PR-AKA,ATR-72-600,AD4907,SBKP,SBSR,S222843W0471953,12797
PR-AQR,ATR-72-600,AD4264,SBCF,SBUL,S192938W0443532,12577
PR-AQJ,ATR-72-600,AD4330,SBRF,SBAR,S092312W0360134,17996
PR-AQZ,ATR-72-600,AD2667,SBKP,SBZM,S223643W0462610,13379
PR-AQV,ATR-72-600,AD5094,SBCT,SBCA,S252825W0495818,15457
PR-YXF,ATR-72-600,AD5033,SBCF,SNBR,S170530W0442601,16999
PR-YXD,ATR-72-600,AD2682,SBRF,SBSG,S073043W0350049,13003
PR-AKL,ATR-72-600,AD5047,SBKP,SBAU,S225950W0470856,2196
PR-AQN,ATR-72-600,AD9585,SBEG,SBUY,S031514W0615353,15998
PR-AKF,ATR-72-600,AD4136,SBCF,SNGI,S164551W0431544,19001
PR-YXT,ATR-72-600,AD4530,SBKP,SBAE,S224544W0475200,13996
PR-AKA,ATR-72-600,AD4907,SBKP,SBSR,S215053W0480743,17999
PR-AKJ,ATR-72-600,AD4590,SBKP,SBRP,S230017W0470817,2241
PR-AQR,ATR-72-600,AD4264,SBCF,SBUL,S192051W0453509,18004
PR-AQJ,ATR-72-600,AD4330,SBRF,SBAR,S101100W0364133,17999
PR-AQZ,ATR-72-600,AD2667,SBKP,SBZM,S220938W0453048,17004
PR-YXE,ATR-72-600,AD4556,SBMO,SBRF,S093041W0354718,638
PR-AQV,ATR-72-600,AD5094,SBCT,SBCA,S252010W0510011,17964
PR-YXF,ATR-72-600,AD5033,SBCF,SNBR,S160158W0443501,17005
PR-YXD,ATR-72-600,AD2682,SBRF,SBSG,S062915W0352058,12997
PR-AKL,ATR-72-600,AD5047,SBKP,SBAU,S223543W0475451,13829
PR-AKF,ATR-72-600,AD4136,SBCF,SNGI,S153756W0430155,19002
PR-YXT,ATR-72-600,AD4530,SBKP,SBAE,S221511W0485343,6567
PR-AKJ,ATR-72-600,AD4590,SBKP,SBRP,S221812W0472633,13373
PR-AKA,ATR-72-600,AD4907,SBKP,SBSR,S211611W0490245,18009
PR-AQH,ATR-72-600,AD6122,SBCF,SBUR,S193837W0435734,2692
PR-AQR,ATR-72-600,AD4264,SBCF,SBUL,S191041W0464127,18001
PR-AQZ,ATR-72-600,AD2667,SBKP,SBZM,S215232W0442405,16998
PR-YXE,ATR-72-600,AD4556,SBMO,SBRF,S084717W0352826,12999
PR-YXD,ATR-72-600,AD2682,SBRF,SBSG,S054547W0352427,825
PR-AQV,ATR-72-600,AD5094,SBCT,SBCA,S251119W0520259,17965
PR-AKL,ATR-72-600,AD5047,SBKP,SBAU,S220413W0485012,18000
PR-AKF,ATR-72-600,AD4136,SBCF,SNGI,S142811W0425841,13939
PR-AKJ,ATR-72-600,AD4590,SBKP,SBRP,S212443W0474632,17003
PR-AQH,ATR-72-600,AD6122,SBCF,SBUR,S193523W0443151,13299
PR-AQR,ATR-72-600,AD4264,SBCF,SBUL,S190724W0474759,17949
PR-YXE,ATR-72-600,AD4556,SBMO,SBRF,S075849W0350327,5388
PR-AQV,ATR-72-600,AD5094,SBCT,SBCA,S250404W0530859,10367
PR-AKL,ATR-72-600,AD5047,SBKP,SBAU,S212823W0495202,14695
PR-AQH,ATR-72-600,AD6122,SBCF,SBUR,S193901W0453243,17999
PR-AQH,ATR-72-600,AD6122,SBCF,SBUR,S194306W0464205,18002
PR-YXD,ATR-72-600,AD4038,SBSG,SBRF,S054613W0352153,549
PR-YXT,ATR-72-600,AD4579,SBAE,SBKP,S221000W0490402,2040
PR-AQR,ATR-72-600,AD4264,SBUL,SBCF,S185236W0481323,3063
PR-YXD,ATR-72-600,AD4038,SBSG,SBRF,S062933W0350737,11997
PR-YXT,ATR-72-600,AD4579,NULL,NULL,S222855W0481230,13000
PR-AKJ,ATR-72-600,AD4766,SBRP,SBKP,S210833W0474617,1864
PR-AQV,ATR-72-600,AD2969,SBCA,SBCT,S250025W0532938,2531
PR-AQR,ATR-72-600,AD4264,SBUL,SBCF,S190414W0472655,14291
PR-AQJ,ATR-72-600,AD4330,SBAR,SBSV,S105844W0371325,2961
PR-AQZ,ATR-72-600,AD2667,SBZM,SBKP,S213449W0431725,3499
PR-YXD,ATR-72-600,AD4038,SBSG,SBRF,S073627W0350158,9789
PR-AQJ,ATR-72-600,AD4330,SBAR,SBSV,S105903W0370356,220
PR-AQJ,ATR-72-600,AD4330,SBAR,SBSV,S114229W0371840,13707
PR-AKA,ATR-72-600,AD4907,SBSR,SBKP,S204839W0492354,1859
PR-AKA,ATR-72-600,AD4907,SBSR,SBKP,S211540W0485205,12834
PR-AKL,ATR-72-600,AD4154,SBAU,SBKP,S210900W0502546,1482
PR-YXT,ATR-72-600,AD4579,NULL,NULL,S230422W0471314,8781
PR-AQZ,ATR-72-600,AD2631,SBZM,SBKP,S213106W0431048,1396
PR-AKJ,ATR-72-600,AD4766,SBRP,SBKP,S215216W0474954,13809
PR-AKL,ATR-72-600,AD4154,SBAU,SBKP,S212428W0494322,13012
PR-AQZ,ATR-72-600,AD2631,SBZM,SBKP,S212124W0435747,13554
PR-AQV,ATR-72-600,AD2969,SBCA,SBCT,S251440W0523808,13645
PR-AQJ,ATR-72-600,AD4330,SBAR,SBSV,S122443W0375859,16000
PR-AQR,ATR-72-600,AD4264,SBUL,SBCF,S190856W0462928,16999
PR-AKA,ATR-72-600,AD4907,SBSR,SBKP,S215752W0481817,17005
PR-AKJ,ATR-72-600,AD4766,SBRP,SBKP,S224607W0473152,15986
PR-AKL,ATR-72-600,AD4154,SBAU,SBKP,S215222W0485555,18985
PR-AQZ,ATR-72-600,AD2631,SBZM,SBKP,S213444W0445527,15996
PR-AQJ,ATR-72-600,AD4330,SBAR,SBSV,S125506W0382214,669
PR-AQV,ATR-72-600,AD2969,SBCA,SBCT,S252256W0513446,18987
PR-AKF,ATR-72-600,AD4137,SNGI,SBCF,S141238W0424426,1932
PR-AKF,ATR-72-600,AD4137,SNGI,SBCF,S145855W0424523,16212
PR-AKF,ATR-72-600,AD4137,SNGI,SBCF,S155834W0424844,20007
PR-AKF,ATR-72-600,AD4137,SNGI,SBCF,S170036W0430216,19998
PR-AQR,ATR-72-600,AD4264,SBUL,SBCF,S190758W0452959,17000
PR-AKA,ATR-72-600,AD4907,SBSR,SBKP,S223907W0473854,17001
PR-AKL,ATR-72-600,AD4154,SBAU,SBKP,S222510W0480220,19010
PR-AQZ,ATR-72-600,AD2631,SBZM,SBKP,S220410W0455553,15996
PR-AKF,ATR-72-600,AD4137,SNGI,SBCF,S180127W0432044,19999
PR-AQR,ATR-72-600,AD4264,SBUL,SBCF,S191354W0442833,13221
PR-AQH,ATR-72-600,AD6123,SBUR,SBCF,S194527W0475810,2660
PR-AQH,ATR-72-600,AD6123,SBUR,SBCF,S193602W0471915,13366
PR-AKA,ATR-72-600,AD4907,SBSR,SBKP,S230155W0470600,2619
PR-AKL,ATR-72-600,AD4154,SBAU,SBKP,S230850W0470701,7036
PR-AQH,ATR-72-600,AD6123,SBUR,SBCF,S192214W0461935,15002
PR-AQZ,ATR-72-600,AD2631,SBZM,SBKP,S223547W0465549,14170
PR-AKF,ATR-72-600,AD4137,SNGI,SBCF,S190227W0433859,17548
PR-AQH,ATR-72-600,AD6123,SBUR,SBCF,S191054W0451457,14998
PR-AQZ,ATR-72-600,AD2631,SBZM,SBKP,S230428W0470225,3990
PR-AQV,ATR-72-600,AD2969,SBCA,SBCT,S253224W0502305,18995
PR-AQN,ATR-72-600,AD9585,SBUY,SBEG,S034152W0625531,15996
PR-AQN,ATR-72-600,AD9585,SBUY,SBEG,S040820W0635659,16003
PR-AQN,ATR-72-600,AD9585,SBUY,SBEG,S043443W0645829,15998
PR-AQV,ATR-72-600,AD2969,SBCA,SBCT,S254309W0490932,8463
PR-AQN,ATR-72-600,AD9586,SBUY,SBEG,S045256W0652046,397
PR-AQN,ATR-72-600,AD9586,SBUY,SBEG,S043428W0643454,11791
PR-AQN,ATR-72-600,AD9586,SBUY,SBEG,S041627W0634428,17006
PR-AQN,ATR-72-600,AD9586,SBUY,SBEG,S035606W0624744,17000
PR-AQH,ATR-72-600,AD6123,SBUR,SBCF,S192206W0441251,8243
PR-AQN,ATR-72-600,AD9586,SBUY,SBEG,S033515W0614935,17001
PR-AQJ,ATR-72-600,AD4330,SBSV,SBPS,S125428W0381906,223
PR-YXF,ATR-72-600,AD5033,NULL,PTAN,S145757W0444400,17000
PR-YXF,ATR-72-600,AD5033,NULL,PTAN,S135341W0445109,17001
PR-YXF,ATR-72-600,AD5033,NULL,PTAN,S125314W0445624,17001
PR-YXF,ATR-72-600,AD5033,NULL,PTAN,S120544W0450249,3057
PR-YXF,ATR-72-600,AD5033,SNBR,SBSV,S120431W0450007,2485
PR-YXF,ATR-72-600,AD5033,SNBR,SBSV,S121033W0441407,14999
PR-YXF,ATR-72-600,AD5033,SNBR,SBSV,S121958W0431453,16999
PR-YXF,ATR-72-600,AD5033,SNBR,SBSV,S122924W0421532,17005
PR-YXF,ATR-72-600,AD5033,SNBR,SBSV,S123840W0411535,17009
PR-YXF,ATR-72-600,AD5033,SNBR,SBSV,S125506W0401952,17006
PR-AQN,ATR-72-600,AD9586,SBUY,SBEG,S031432W0605054,17004
PR-AQJ,ATR-72-600,AD4330,SBSV,SBPS,S133356W0383214,12930
PR-YXF,ATR-72-600,AD5033,SNBR,SBSV,S125138W0392633,17000
PR-AQJ,ATR-72-600,AD4330,SBSV,SBPS,S142155W0384513,17998
PR-AQV,ATR-72-600,AD2969,SBCT,SBPO,S253126W0491051,3057
PR-AQR,ATR-72-600,AD4264,SBCF,SBUL,S193814W0435755,2707
PR-YXF,ATR-72-600,AD5033,SNBR,SBSV,S125300W0383258,4227
PR-AQJ,ATR-72-600,AD4330,SBSV,SBPS,S152144W0390132,18004
PR-AQV,ATR-72-600,AD2969,SBCT,SBPO,S252356W0495821,13634
PR-YXE,ATR-72-600,AD2634,SBRF,SBAR,S080745W0345520,315
PR-AQR,ATR-72-600,AD4264,SBCF,SBUL,S193238W0443149,12501
PR-AQJ,ATR-72-600,AD4330,SBSV,SBPS,S162251W0391833,4842
PR-AQH,ATR-72-600,AD4293,SBCF,SBMK,S193823W0435748,2726
