Aircraft,AircraftType,Flight,DepartureAirportICAO,ArrivalAirportICAO,Coordenada,Altitude
PR-AKF,ATR-72-600,AD4179,SBCF,SBUL,S181911W0474952,7792
PR-YXB,ATR-72-600,AD4316,SBKP,SBUL,S200630W0475417,12007
PR-AQO,ATR-72-600,AD4503,SBPO,SBKP,S254608W0515257,14897
PR-AKA,ATR-72-600,AD4063,SBKP,SBDN,S220459W0510105,12025
PR-AQJ,ATR-72-600,AD4330,SBIL,SBCF,S144856W0390123,276
PR-AQJ,ATR-72-600,AD4330,SBIL,SBCF,S151616W0393007,12182
PR-YXD,ATR-72-600,AD2676,SBKP,SBMG,S232442W0500315,16004
PR-AQZ,ATR-72-600,AD2997,SBPA,SBUG,S300710W0524932,16823
PR-AQJ,ATR-72-600,AD4330,SBIL,SBCF,S155402W0401238,15999
PR-AQJ,ATR-72-600,AD4330,SBIL,SBCF,S163530W0405941,15999
PR-AQJ,ATR-72-600,AD4330,SBIL,SBCF,S171507W0414509,15996
PR-YXT,ATR-72-600,AD9590,SBBE,SBOI,N000737W0492908,18002
PR-YXB,ATR-72-600,AD4316,SBKP,SBUL,S190632W0480335,11995
PR-AQJ,ATR-72-600,AD4330,SBIL,SBCF,S175401W0423149,16000
PR-YXD,ATR-72-600,AD2676,SBKP,SBMG,S233044W0511003,16001
PR-AQZ,ATR-72-600,AD2997,SBPA,SBUG,S300236W0535652,18009
PR-YXT,ATR-72-600,AD9590,SBBE,SBOI,N004937W0501419,18002
PR-AQH,ATR-72-600,AD4251,SBMK,SBCF,S164223W0434929,2290
PR-AQJ,ATR-72-600,AD4330,SBIL,SBCF,S182728W0432219,15998
PR-AQO,ATR-72-600,AD4503,SBPO,SBKP,S252016W0505427,19018
PR-AQO,ATR-72-600,AD4503,SBPO,SBKP,S250303W0494231,18999
PR-YXF,ATR-72-600,AD4485,NULL,NULL,S090319W0631454,12619
PR-YXF,ATR-72-600,AD4485,NULL,NULL,S094509W0623353,18653
PR-YXF,ATR-72-600,AD4485,NULL,NULL,S102647W0614641,19006
PR-YXF,ATR-72-600,AD4485,NULL,NULL,S110511W0605529,19005
PR-YXF,ATR-72-600,AD4485,NULL,NULL,S115421W0601328,19004
PR-YXF,ATR-72-600,AD4485,NULL,NULL,S124338W0593142,18997
PR-AQZ,ATR-72-600,AD2997,SBPA,SBUG,S295737W0550210,18006
PR-AQQ,ATR-72-600,AD4560,SBRF,SBJP,S080752W0345518,228
PR-YXT,ATR-72-600,AD9590,SBBE,SBOI,N010936W0511200,17998
PR-AQH,ATR-72-600,AD4251,SBMK,SBCF,S172933W0435700,15028
PR-AQJ,ATR-72-600,AD4330,SBIL,SBCF,S191424W0435449,15005
PR-AQO,ATR-72-600,AD4503,SBPO,SBKP,S242212W0484248,17020
PR-AKJ,ATR-72-600,AD2767,SBAR,SBRF,S105903W0370400,245
PR-AKJ,ATR-72-600,AD2767,SBAR,SBRF,S103235W0363018,11002
PR-AKJ,ATR-72-600,AD2767,SBAR,SBRF,S094834W0355940,11010
PR-AQV,ATR-72-600,AD2721,SBMG,SBCT,S250905W0494828,13963
PR-YXF,ATR-72-600,AD4485,NULL,NULL,S132850W0584741,19005
PR-AQV,ATR-72-600,AD2721,SBMG,SBCT,S243604W0504117,15952
PR-AQV,ATR-72-600,AD2721,SBMG,SBCT,S240237W0513757,15959
PR-AQV,ATR-72-600,AD2721,SBMG,SBCT,S232902W0520319,2191
PR-AQV,ATR-72-600,AD2721,SBMG,SBCT,S232829W0520034,1987
PR-AQV,ATR-72-600,AD2721,SBMG,SBCT,S234041W0511655,13900
PR-AQV,ATR-72-600,AD2721,SBMG,SBCT,S242045W0503421,14968
PR-AQZ,ATR-72-600,AD2997,SBPA,SBUG,S295210W0560620,18003
PR-AQQ,ATR-72-600,AD4560,SBRF,SBJP,S073140W0350653,8016
PR-YXT,ATR-72-600,AD9590,SBBE,SBOI,N021348W0512839,18001
PR-AKF,ATR-72-600,AD4180,SBUL,SBCF,S185326W0481344,3194
PR-AQH,ATR-72-600,AD4251,SBMK,SBCF,S183233W0435327,18006
PR-AKJ,ATR-72-600,AD2767,SBAR,SBRF,S090110W0352409,11004
PR-AQJ,ATR-72-600,AD4330,SBIL,SBCF,S194239W0435351,4232
PR-AQO,ATR-72-600,AD4503,SBPO,SBKP,S233650W0474636,17017
PR-AQV,ATR-72-600,AD2721,SBMG,SBCT,S250404W0495528,10904
PR-YXC,ATR-72-600,AD4268,SBKP,SBRP,S230037W0470750,2332
PR-YXF,ATR-72-600,AD4485,NULL,PTAN,S141341W0580335,19004
PR-AQZ,ATR-72-600,AD2997,SBPA,SBUG,S294718W0570609,1338
PR-AKF,ATR-72-600,AD4180,SBUL,SBCF,S191257W0472429,11003
PR-AQH,ATR-72-600,AD4251,SBMK,SBCF,S193810W0434707,8515
PR-AKJ,ATR-72-600,AD2767,SBAR,SBRF,S080224W0350529,5955
PR-AKA,ATR-72-600,AD4520,SBDN,SBKP,S221033W0512511,1691
PR-AKA,ATR-72-600,AD4520,SBDN,SBKP,S221355W0502942,15826
PR-AQO,ATR-72-600,AD4503,SBPO,SBKP,S225546W0471436,4272
PR-AQV,ATR-72-600,AD2721,SBMG,SBCT,S253135W0491041,2825
PR-YXB,ATR-72-600,AD4265,SBUL,SBKP,S185323W0481344,3232
PR-YXC,ATR-72-600,AD4268,SBKP,SBRP,S221950W0471621,11008
PR-YXF,ATR-72-600,AD4485,NULL,PTAN,S143320W0570327,17011
PR-AKA,ATR-72-600,AD4520,SBDN,SBKP,S222016W0491949,18987
PR-AKF,ATR-72-600,AD4180,SBUL,SBCF,S190713W0462214,13001
PR-AQN,ATR-72-600,AD4057,SBEG,SBTT,S030219W0600234,408
PR-AQN,ATR-72-600,AD4057,SBEG,SBTT,S030429W0603444,12328
PR-AQN,ATR-72-600,AD4057,SBEG,SBTT,S031133W0612852,16003
PR-AQN,ATR-72-600,AD4057,SBEG,SBTT,S031822W0623128,16012
PR-AQN,ATR-72-600,AD4057,SBEG,SBTT,S032516W0633248,16008
PR-AQN,ATR-72-600,AD4057,SBEG,SBTT,S033052W0643428,15999
PR-AQN,ATR-72-600,AD4057,SBEG,SBTT,S034512W0653721,16001
PR-YXB,ATR-72-600,AD4265,SBUL,SBKP,S194500W0480946,13341
PR-YXF,ATR-72-600,AD4485,NULL,PTAN,S153033W0562656,14635
PR-AKA,ATR-72-600,AD4520,SBDN,SBKP,S223714W0480326,19000
PR-AQN,ATR-72-600,AD4057,SBEG,SBTT,S040420W0664047,16007
PR-AKF,ATR-72-600,AD4180,SBUL,SBCF,S190539W0451212,12999
PR-YXD,ATR-72-600,AD2676,SBMG,SBKP,S233530W0521328,6430
PR-YXD,ATR-72-600,AD4611,SBMG,SBKP,S232827W0520025,2090
PR-YXD,ATR-72-600,AD4611,SBMG,SBKP,S231616W0510910,12300
PR-AQZ,ATR-72-600,AD2996,SBUG,SBPA,S294652W0570140,424
PR-YXB,ATR-72-600,AD4265,SBUL,SBKP,S205127W0480314,13999
PR-YXF,ATR-72-600,AD4485,NULL,PTAN,S154312W0560452,1908
PR-AKA,ATR-72-600,AD4520,SBDN,SBKP,S225413W0471647,5058
PR-AQN,ATR-72-600,AD4057,SBEG,SBTT,S034714W0674201,14002
PR-AQQ,ATR-72-600,AD2834,SBRF,NULL,S070907W0345650,332
PR-AKF,ATR-72-600,AD4180,SBUL,SBCF,S192338W0440748,10996
PR-YXD,ATR-72-600,AD4611,SBMG,SBKP,S231631W0500028,14998
PR-AQZ,ATR-72-600,AD2996,SBUG,SBPA,S294248W0560425,12130
PR-AQQ,ATR-72-600,AD2834,SBRF,NULL,S074521W0345334,5797
PR-AQV,ATR-72-600,AD4756,SBCT,SBLO,S253211W0491001,3140
PR-YXB,ATR-72-600,AD4265,SBUL,SBKP,S215737W0475205,13999
PR-YXD,ATR-72-600,AD4611,SBMG,SBKP,S230052W0484817,14191
PR-AQZ,ATR-72-600,AD2996,SBUG,SBPA,S294633W0545511,16999
PR-AQV,ATR-72-600,AD4756,SBCT,SBLO,S250952W0494904,10002
PR-YXB,ATR-72-600,AD4265,SBUL,SBKP,S225035W0472048,6798
PR-YXD,ATR-72-600,AD4611,SBMG,SBKP,S224840W0474134,9489
PR-YXC,ATR-72-600,AD4268,SBRP,SBKP,S211852W0474258,5220
PR-YXT,ATR-72-600,AD9590,SBOI,SBBE,N031920W0514623,10365
PR-YXC,ATR-72-600,AD4270,SBRP,SBKP,S210745W0474632,2012
PR-YXT,ATR-72-600,AD9590,SBOI,SBBE,N035048W0514755,466
PR-YXT,ATR-72-600,AD9590,SBOI,SBBE,N030935W0512234,15305
PR-YXT,ATR-72-600,AD9590,SBOI,SBBE,N021854W0504819,22000
PR-AQV,ATR-72-600,AD4756,SBCT,SBLO,S242529W0501903,10001
PR-AQJ,ATR-72-600,AD4121,SBCF,SBMK,S193745W0435823,2881
PR-YXC,ATR-72-600,AD4270,SBRP,SBKP,S214820W0474357,15978
PR-YXT,ATR-72-600,AD9590,SBOI,SBBE,N011427W0502634,18012
PR-AQO,ATR-72-600,AD4503,SBKP,SBJV,S230034W0470753,2265
PR-YXF,ATR-72-600,AD4487,SBCY,SBSR,S153931W0560649,923
PR-AQV,ATR-72-600,AD4756,SBCT,SBLO,S234708W0505702,9997
PR-AQR,ATR-72-600,AD6176,SBCF,SBSR,S193814W0435755,2804
PR-AQJ,ATR-72-600,AD4121,SBCF,SBMK,S185458W0440353,14715
PR-YXC,ATR-72-600,AD4270,SBRP,SBKP,S224740W0472238,7822
PR-YXT,ATR-72-600,AD9590,SBOI,SBBE,N001457W0495116,18001
PR-AKA,ATR-72-600,AD4652,SBKP,SBSR,S230035W0470752,2284
PR-AQO,ATR-72-600,AD4503,SBKP,SBJV,S234451W0472202,13203
PR-YXF,ATR-72-600,AD4487,SBCY,SBSR,S160256W0552400,12368
PR-AQH,ATR-72-600,AD6174,SBCF,SBRP,S193843W0435729,2826
PR-AQR,ATR-72-600,AD6176,SBCF,SBSR,S192940W0442808,12001
PR-AQJ,ATR-72-600,AD4121,SBCF,SBMK,S175951W0434634,15004
PR-AKJ,ATR-72-600,AD2750,SBRF,SBMO,S080744W0345520,236
PR-AQN,ATR-72-600,AD4059,SBTT,SBEG,S041512W0695627,523
PR-YXT,ATR-72-600,AD9590,SBOI,SBBE,S004330W0491138,16958
PR-AKA,ATR-72-600,AD4652,SBKP,SBSR,S224105W0474317,14774
PR-AQO,ATR-72-600,AD4503,SBKP,SBJV,S243826W0474700,16017
PR-YXF,ATR-72-600,AD4487,SBCY,SBSR,S164424W0544627,16996
PR-AQQ,ATR-72-600,AD9010,SBRF,SBSG,S080752W0345518,137
PR-AQH,ATR-72-600,AD6174,SBCF,SBRP,S194419W0442754,12019
PR-AQR,ATR-72-600,AD6176,SBCF,SBSR,S193900W0452911,12001
PR-AQJ,ATR-72-600,AD4121,SBCF,SBMK,S170930W0435139,14987
PR-AKJ,ATR-72-600,AD2750,SBRF,SBMO,S084614W0352243,11991
PR-AQN,ATR-72-600,AD4059,SBTT,SBEG,S040707W0691717,13162
PR-YXT,ATR-72-600,AD9590,SBOI,SBBE,S012644W0483234,1631
PR-YXD,ATR-72-600,AD4611,SBKP,SBML,S230034W0470753,2407
PR-AKA,ATR-72-600,AD4652,SBKP,SBSR,S215703W0483354,15000
PR-AQO,ATR-72-600,AD4503,SBKP,SBJV,S253113W0482348,15694
PR-YXF,ATR-72-600,AD4487,SBCY,SBSR,S172416W0535002,15005
PR-AKL,ATR-72-600,AD4951,SBLE,SBSV,S144917W0391407,3677
PR-AKL,ATR-72-600,AD4332,SBIL,SBSV,S144856W0390129,295
PR-AKL,ATR-72-600,AD4332,SBIL,SBSV,S140835W0384752,13954
PR-AKL,ATR-72-600,AD4332,SBIL,SBSV,S130855W0383301,7165
PR-AQQ,ATR-72-600,AD9010,SBRF,SBSG,S072931W0345734,10997
PR-AKL,ATR-72-600,AD4332,SBSV,SBLE,S125429W0381911,281
PR-AKL,ATR-72-600,AD4332,SBSV,SBLE,S125627W0385309,13257
PR-AKL,ATR-72-600,AD4332,SBSV,SBLE,S124631W0394915,17779
PR-AKL,ATR-72-600,AD4332,SBSV,SBLE,S123507W0405330,9524
PR-AQH,ATR-72-600,AD6174,SBCF,SBRP,S201030W0452832,11997
PR-AKL,ATR-72-600,AD4331,SBSV,SBAR,S122909W0411607,1828
PR-AKL,ATR-72-600,AD4331,SBSV,SBAR,S124251W0403258,13630
PR-AKL,ATR-72-600,AD4331,SBSV,SBAR,S125134W0393540,16998
PR-AKL,ATR-72-600,AD4331,SBSV,SBAR,S125628W0382858,2494
PR-AKJ,ATR-72-600,AD2750,SBRF,SBMO,S092830W0355838,3678
PR-AQN,ATR-72-600,AD4059,SBTT,SBEG,S040018W0681912,15008
PR-YXD,ATR-72-600,AD4611,SBKP,SBML,S225116W0475256,11997
PR-AKA,ATR-72-600,AD4652,SBKP,SBSR,S210858W0492243,11882
PR-YXF,ATR-72-600,AD4487,SBCY,SBSR,S180319W0525955,15001
PR-AQQ,ATR-72-600,AD9010,SBRF,SBSG,S063420W0351742,10998
PR-AQZ,ATR-72-600,AD4083,NULL,NULL,S294950W0534238,18131
PR-AQZ,ATR-72-600,AD4083,NULL,NULL,S295228W0523012,19004
PR-AQZ,ATR-72-600,AD4083,NULL,NULL,S295820W0512303,3595
PR-AQN,ATR-72-600,AD4059,SBTT,SBEG,S035317W0671910,14998
PR-AQR,ATR-72-600,AD6176,SBCF,SBSR,S200636W0462614,12001
PR-AQR,ATR-72-600,AD6176,SBCF,SBSR,S202045W0472725,11994
PR-AKF,ATR-72-600,AD4142,SBCF,SBIP,S193839W0435734,2809
PR-AQH,ATR-72-600,AD6174,SBCF,SBRP,S203817W0462606,12003
PR-YXD,ATR-72-600,AD4611,SBKP,SBML,S223357W0485609,12002
PR-AKL,ATR-72-600,AD4331,SBSV,SBAR,S125428W0381911,215
PR-YXB,ATR-72-600,AD4373,SBKP,SBUL,S230035W0470752,2328
PR-YXC,ATR-72-600,AD4270,SBKP,SBRP,S230035W0470753,2357
PR-YXF,ATR-72-600,AD4487,SBCY,SBSR,S184336W0520730,15001
PR-AQQ,ATR-72-600,AD9010,SBRF,SBSG,S054518W0352725,1688
PR-AQH,ATR-72-600,AD6174,SBCF,SBRP,S210805W0472125,11522
PR-AQR,ATR-72-600,AD6176,SBCF,SBSR,S203432W0482841,12004
PR-AKF,ATR-72-600,AD4142,SBCF,SBIP,S193703W0430514,10493
PR-YXD,ATR-72-600,AD4611,SBKP,SBML,S220100W0494649,6627
PR-AKL,ATR-72-600,AD4331,SBSV,SBAR,S121508W0375300,13002
PR-AQJ,ATR-72-600,AD4121,SBMK,SBCF,S164228W0434842,2405
PR-AQV,ATR-72-600,AD4756,SBLO,SBCT,S231955W0510805,1860
PR-YXB,ATR-72-600,AD4373,SBKP,SBUL,S222039W0470743,13434
PR-AQV,ATR-72-600,AD4756,SBLO,SBCT,S232013W0510712,2066
PR-AQV,ATR-72-600,AD4756,SBLO,SBCT,S234627W0502618,11004
PR-AQV,ATR-72-600,AD4756,SBLO,SBCT,S242529W0495431,9002
PR-YXC,ATR-72-600,AD4270,SBKP,SBRP,S222013W0471320,11997
PR-AQN,ATR-72-600,AD4059,SBTT,SBEG,S034328W0661302,15009
PR-YXF,ATR-72-600,AD4487,SBCY,SBSR,S192510W0511240,15000
PR-AQN,ATR-72-600,AD4059,SBTT,SBEG,S034338W0651434,18995
PR-AKJ,ATR-72-600,AD4344,SBMO,SBRF,S093043W0354710,459
PR-AQZ,ATR-72-600,AD4083,SBPA,SBCT,S295942W0510933,231
PR-AQV,ATR-72-600,AD4756,SBLO,SBCT,S251610W0492655,8704
PR-AKL,ATR-72-600,AD4331,SBSV,SBAR,S113132W0371446,14993
PR-AQJ,ATR-72-600,AD4121,SBMK,SBCF,S172612W0440232,16537
PR-YXB,ATR-72-600,AD4373,SBKP,SBUL,S212717W0472456,17000
PR-YXC,ATR-72-600,AD4270,SBKP,SBRP,S212208W0474155,6339
PR-YXF,ATR-72-600,AD4487,SBCY,SBSR,S200809W0501842,14997
PR-AKJ,ATR-72-600,AD4344,SBMO,SBRF,S085049W0352425,12974
PR-AKA,ATR-72-600,AD4652,SBSR,SBKP,S204845W0492403,1941
PR-AQZ,ATR-72-600,AD4083,SBPA,SBCT,S292047W0505542,11874
PR-AQJ,ATR-72-600,AD4121,SBMK,SBCF,S181935W0442817,17995
PR-YXB,ATR-72-600,AD4373,SBKP,SBUL,S202948W0474330,16996
PR-AKA,ATR-72-600,AD4652,SBSR,SBKP,S212000W0485059,14820
PR-AQQ,ATR-72-600,AD9011,SBSG,SBRF,S054613W0352146,450
PR-AQO,ATR-72-600,AD4503,SBJV,SBKP,S261244W0484851,296
PR-AQO,ATR-72-600,AD4503,SBJV,SBKP,S261347W0484724,234
PR-AQO,ATR-72-600,AD4503,SBJV,SBKP,S254010W0483102,12808
PR-AKJ,ATR-72-600,AD4344,SBMO,SBRF,S075831W0350233,4669
PR-AQZ,ATR-72-600,AD4083,SBPA,SBCT,S282658W0504921,16930
PR-AQJ,ATR-72-600,AD4121,SBMK,SBCF,S191939W0441924,10533
PR-AQO,ATR-72-600,AD4503,SBJV,SBKP,S243831W0481838,15002
PR-YXB,ATR-72-600,AD4373,SBKP,SBUL,S193117W0480428,14572
PR-AKA,ATR-72-600,AD4652,SBSR,SBKP,S221008W0480630,15002
PR-AQQ,ATR-72-600,AD9011,SBSG,SBRF,S062627W0350342,12827
PR-AKF,ATR-72-600,AD4138,SBIP,SBCF,S192832W0422926,987
PR-YXD,ATR-72-600,AD4222,SBML,SBKP,S221118W0495528,2350
PR-AKF,ATR-72-600,AD4138,SBIP,SBCF,S193448W0430433,11966
PR-AQN,ATR-72-600,AD4059,SBTT,SBEG,S033817W0641556,18999
PR-AQN,ATR-72-600,AD4059,SBTT,SBEG,S033004W0631709,19003
PR-AQN,ATR-72-600,AD4059,SBTT,SBEG,S032057W0621804,18997
PR-YXD,ATR-72-600,AD4222,SBML,SBKP,S221724W0490456,11008
PR-AQZ,ATR-72-600,AD4083,SBPA,SBCT,S272938W0502136,17003
PR-AQO,ATR-72-600,AD4503,SBJV,SBKP,S233432W0475712,14998
PR-AKA,ATR-72-600,AD4652,SBSR,SBKP,S225500W0471541,4631
PR-AQQ,ATR-72-600,AD9011,SBSG,SBRF,S072253W0345503,14552
PR-AQN,ATR-72-600,AD4059,SBTT,SBEG,S031211W0611926,19000
PR-AKF,ATR-72-600,AD4138,SBIP,SBCF,S193431W0435255,11548
PR-YXC,ATR-72-600,AD4270,SBRP,SBKP,S210739W0474634,1934
PR-AQH,ATR-72-600,AD6175,SBRP,SBCF,S210736W0474635,1967
PR-YXD,ATR-72-600,AD4222,SBML,SBKP,S222318W0475815,11008
PR-AQZ,ATR-72-600,AD4083,SBPA,SBCT,S263238W0495432,16996
PR-AQO,ATR-72-600,AD4503,SBJV,SBKP,S225610W0471402,4041
PR-YXC,ATR-72-600,AD4270,SBRP,SBKP,S214548W0474909,14003
PR-AQN,ATR-72-600,AD4059,SBTT,SBEG,S030316W0602007,6095
PR-YXD,ATR-72-600,AD4222,SBML,SBKP,S225622W0471346,3984
PR-AQZ,ATR-72-600,AD4083,SBPA,SBCT,S253423W0493045,8378
PR-YXF,ATR-72-600,AD4488,SBSR,SBKP,S204844W0492402,1956
PR-YXC,ATR-72-600,AD4270,SBRP,SBKP,S224007W0472858,12667
PR-AKL,ATR-72-600,AD4331,SBAR,SBRF,S105902W0370438,212
PR-AKL,ATR-72-600,AD4331,SBAR,SBRF,S103033W0364141,14203
PR-AKL,ATR-72-600,AD4331,SBAR,SBRF,S095002W0360837,15012
PR-AQH,ATR-72-600,AD6175,SBRP,SBCF,S202749W0471420,11000
PR-AQH,ATR-72-600,AD6175,SBRP,SBCF,S193847W0462646,10988
PR-YXF,ATR-72-600,AD4488,SBSR,SBKP,S212230W0484930,16595
PR-AQR,ATR-72-600,AD6176,SBSR,SBCF,S205902W0492847,6822
PR-YXB,ATR-72-600,AD4373,SBUL,SBKP,S185230W0481320,3207
PR-AQR,ATR-72-600,AD6210,SBSR,SBCF,S204843W0492401,1837
PR-AQR,ATR-72-600,AD6210,SBSR,SBCF,S202657W0483549,13828
PR-AQR,ATR-72-600,AD6210,SBSR,SBCF,S195647W0473341,15016
PR-AQH,ATR-72-600,AD6175,SBRP,SBCF,S191618W0452030,11003
PR-AQR,ATR-72-600,AD6210,SBSR,SBCF,S193610W0462406,15005
PR-AKL,ATR-72-600,AD4331,SBAR,SBRF,S090723W0353704,15014
PR-YXF,ATR-72-600,AD4488,SBSR,SBKP,S221641W0480043,17014
PR-YXB,ATR-72-600,AD4373,SBUL,SBKP,S194019W0480730,13257
PR-AQH,ATR-72-600,AD6175,SBRP,SBCF,S192739W0441105,7790
PR-AQR,ATR-72-600,AD6210,SBSR,SBCF,S190612W0452434,15009
PR-AKL,ATR-72-600,AD4331,SBAR,SBRF,S082118W0350849,14456
PR-YXF,ATR-72-600,AD4488,SBSR,SBKP,S225602W0471413,4116
PR-YXB,ATR-72-600,AD4373,SBUL,SBKP,S204139W0480036,15998
PR-AQR,ATR-72-600,AD6210,SBSR,SBCF,S191848W0442140,12058
PR-YXB,ATR-72-600,AD4373,SBUL,SBKP,S214828W0474634,15999
PR-YXB,ATR-72-600,AD4373,SBUL,SBKP,S224838W0472456,8052
PR-AKL,ATR-72-600,AD9006,SBRF,SBJU,S080751W0345518,154
PR-AKF,ATR-72-600,AD4420,SBCF,SBMK,S193816W0435754,2713
PR-AQZ,ATR-72-600,AD4190,SBCT,SBMG,S253206W0491006,3034
PR-AKL,ATR-72-600,AD9006,SBRF,SBJU,S074749W0351114,12738
PR-AKF,ATR-72-600,AD4420,SBCF,SBMK,S190900W0435741,10989
PR-AQZ,ATR-72-600,AD4190,SBCT,SBMG,S251237W0495332,13659
PR-AKL,ATR-72-600,AD9006,SBRF,SBJU,S073936W0361018,17993
PR-AQR,ATR-72-600,AD4139,SBCF,SBIP,S193810W0435800,2695
PR-AKF,ATR-72-600,AD4420,SBCF,SBMK,S181901W0441453,10991
PR-AQZ,ATR-72-600,AD4190,SBCT,SBMG,S243839W0504401,16001
PR-AKL,ATR-72-600,AD9006,SBRF,SBJU,S073007W0371723,16009
PR-AQQ,ATR-72-600,AD5035,SBRF,SBSG,S080824W0345507,215
PR-YXD,ATR-72-600,AD4670,SBKP,SBUL,S230036W0470752,2249
PR-AQR,ATR-72-600,AD4139,SBCF,SBIP,S193452W0430627,10999
PR-AKF,ATR-72-600,AD4420,SBCF,SBMK,S172608W0441006,10986
PR-AQZ,ATR-72-600,AD4190,SBCT,SBMG,S240329W0513522,16003
PR-YXF,ATR-72-600,AD4099,SBKP,SBSR,S230033W0470755,2322
PR-AKL,ATR-72-600,AD9006,SBRF,SBJU,S072005W0382658,14001
PR-AQQ,ATR-72-600,AD5035,SBRF,SBSG,S073058W0345359,12994
PR-YXD,ATR-72-600,AD4670,SBKP,SBUL,S223951W0473708,14092
PR-AKF,ATR-72-600,AD4420,SBCF,SBMK,S164203W0435209,2813
PR-YXF,ATR-72-600,AD4099,SBKP,SBSR,S224111W0474713,11003
PR-YXC,ATR-72-600,AD4711,SBKP,SBRP,S230035W0470753,2295
PR-AQO,ATR-72-600,AD2716,SBKP,SBDN,S230035W0470753,2276
PR-AQQ,ATR-72-600,AD5035,SBRF,SBSG,S063624W0351440,13005
PR-YXD,ATR-72-600,AD4670,SBKP,SBUL,S214345W0474618,16999
PR-YXF,ATR-72-600,AD4099,SBKP,SBSR,S214900W0483251,11007
PR-YXC,ATR-72-600,AD4711,SBKP,SBRP,S222733W0472153,13220
PR-AQO,ATR-72-600,AD2716,SBKP,SBDN,S230739W0475630,12000
PR-AQQ,ATR-72-600,AD5035,SBRF,SBSG,S055222W0354008,5269
PR-YXD,ATR-72-600,AD4670,SBKP,SBUL,S204449W0475549,17008
PR-YXC,ATR-72-600,AD4711,SBKP,SBRP,S212535W0474052,8130
PR-AQO,ATR-72-600,AD2716,SBKP,SBDN,S230022W0485828,16021
PR-YXD,ATR-72-600,AD4670,SBKP,SBUL,S194704W0480846,17000
PR-AKL,ATR-72-600,AD9006,SBJU,SBRF,S071320W0391543,1426
PR-AQO,ATR-72-600,AD2716,SBKP,SBDN,S224057W0495907,16005
PR-YXD,ATR-72-600,AD4670,SBKP,SBUL,S185640W0481509,4031
PR-AKL,ATR-72-600,AD9006,SBJU,SBRF,S072320W0383249,14468
PR-AQO,ATR-72-600,AD2716,SBKP,SBDN,S222357W0510117,16015
PR-AKL,ATR-72-600,AD9006,SBJU,SBRF,S072128W0373333,15002
PR-AKL,ATR-72-600,AD9006,SBJU,SBRF,S072515W0363228,15000
PR-AKL,ATR-72-600,AD9006,SBJU,SBRF,S074308W0353222,14277
PR-AKL,ATR-72-600,AD9006,SBJU,SBRF,S080504W0345613,646
PR-AKL,ATR-72-600,AD9095,SBRF,SBJU,S080807W0345513,278
PR-AKL,ATR-72-600,AD9095,SBRF,SBJU,S075522W0353124,11997
PR-AKL,ATR-72-600,AD9095,SBRF,SBJU,S074306W0363121,12001
PR-YXC,ATR-72-600,AD4211,SBRP,SBKP,S210831W0474618,2015
PR-YXC,ATR-72-600,AD4211,SBRP,SBKP,S215150W0475923,12021
PR-AQV,ATR-72-600,AD2977,SBCT,SBPA,S253204W0491008,3076
PR-AKF,ATR-72-600,AD4421,SBMK,SBCF,S164227W0434845,2293
PR-AQZ,ATR-72-600,AD4169,SBMG,SBKP,S232829W0520035,1981
PR-AQZ,ATR-72-600,AD4169,SBMG,SBKP,S231625W0511040,11005
PR-AQZ,ATR-72-600,AD4169,SBMG,SBKP,S230429W0500559,12990
PR-AQO,ATR-72-600,AD4474,SBDN,SBKP,S221033W0512504,1626
PR-AQO,ATR-72-600,AD4474,SBDN,SBKP,S221552W0503207,14709
PR-AQR,ATR-72-600,AD4029,SBIP,SBCF,S192838W0422929,922
PR-YXD,ATR-72-600,AD4393,SBUL,SBKP,S185231W0481321,3215
PR-YXC,ATR-72-600,AD4211,SBRP,SBKP,S224800W0472559,8473
PR-AQV,ATR-72-600,AD2977,SBCT,SBPA,S261958W0492111,14558
PR-AQR,ATR-72-600,AD4029,SBIP,SBCF,S193857W0431802,11997
PR-AQZ,ATR-72-600,AD4169,SBMG,SBKP,S225448W0485804,12994
PR-AKF,ATR-72-600,AD4421,SBMK,SBCF,S173229W0434159,15415
PR-AQQ,ATR-72-600,AD2669,SBSG,SBRF,S054613W0352147,418
PR-AQO,ATR-72-600,AD4474,SBDN,SBKP,S222314W0492128,17013
PR-AKL,ATR-72-600,AD9095,SBRF,SBJU,S073035W0373144,11997
PR-AKL,ATR-72-600,AD9095,SBRF,SBJU,S071708W0383235,12001
PR-AKL,ATR-72-600,AD9095,SBRF,SBJU,S071016W0392353,3584
PR-YXD,ATR-72-600,AD4393,SBUL,SBKP,S194537W0481616,10003
PR-AKL,ATR-72-600,AD9095,SBJU,SBRF,S071319W0391542,1427
PR-AKL,ATR-72-600,AD9095,SBJU,SBRF,S072400W0383012,11019
PR-AKL,ATR-72-600,AD9095,SBJU,SBRF,S072208W0373024,11014
PR-AQV,ATR-72-600,AD2977,SBCT,SBPA,S271243W0494256,17965
PR-AQR,ATR-72-600,AD4029,SBIP,SBCF,S193700W0435905,2787
PR-AQZ,ATR-72-600,AD4169,SBMG,SBKP,S224954W0474759,13002
PR-AKF,ATR-72-600,AD4421,SBMK,SBCF,S183501W0434831,15981
PR-AQQ,ATR-72-600,AD2669,SBSG,SBRF,S062628W0350644,13861
PR-AQO,ATR-72-600,AD4474,SBDN,SBKP,S223630W0480807,17015
PR-AKL,ATR-72-600,AD9095,SBJU,SBRF,S072601W0363016,11023
